TimeInSec,Flame_1_HeightInCM,Flame_2_HeightInCM
0,42.6057256235828,58.4628684807256
1,43.6335034013605,58.4628684807256
2,41.7247732426304,58.4628684807256
3,43.1930272108844,58.4628684807256
4,46.2763605442177,58.4628684807256
5,54.4985827664399,58.609693877551
6,56.7009637188209,56.7009637188209
7,56.7009637188209,56.7009637188209
8,56.1136621315193,56.1136621315193
9,55.5263605442177,58.4628684807256
10,54.4985827664399,58.4628684807256
11,58.3160430839002,58.3160430839002
12,60.812074829932,60.812074829932
13,58.4628684807256,58.4628684807256
14,63.7485827664399,63.7485827664399
15,54.6454081632653,64.3358843537415
16,55.5263605442177,82.8358843537415
17,60.5184240362812,60.5184240362812
18,55.6731859410431,52.8835034013605
19,54.6454081632653,58.4628684807256
20,55.9668367346939,55.9668367346939
21,58.1692176870748,58.1692176870748
22,61.6930272108844,61.6930272108844
23,66.391439909297,66.391439909297
24,52.1493764172336,45.8358843537415
25,75.4946145124716,75.4946145124716
26,63.4549319727891,63.4549319727891
27,78.577947845805,78.577947845805
28,77.9906462585034,77.9906462585034
29,54.0581065759637,65.0700113378685
30,56.7009637188209,56.7009637188209
31,65.2168367346939,65.2168367346939
32,50.6811224489796,65.0700113378685
33,71.2366780045351,71.2366780045351
34,66.391439909297,66.391439909297
35,62.4271541950113,62.4271541950113
36,79.8993764172336,79.8993764172336
37,52.8835034013605,67.4192176870748
38,52.296201814059,76.6692176870748
39,42.312074829932,48.9192176870748
40,54.7922335600907,52.7366780045351
41,53.0303287981859,51.4152494331066
42,55.9668367346939,55.9668367346939
43,51.2684240362812,45.3954081632653
44,40.109693877551,44.3676303854875
45,40.4033446712018,43.1930272108844
46,40.109693877551,41.4311224489796
47,40.109693877551,41.1374716553288
48,40.4033446712018,62.8676303854875
49,43.046201814059,40.6969954648526
50,50.6811224489796,39.2287414965986
51,42.6057256235828,58.3160430839002
52,40.843820861678,40.109693877551
53,52.1493764172336,41.7247732426304
54,40.843820861678,58.3160430839002
55,42.7525510204082,58.3160430839002
56,39.9628684807256,58.3160430839002
57,54.0581065759637,65.0700113378685
58,41.2842970521542,58.3160430839002
59,52.296201814059,64.1890589569161
60,67.4192176870748,67.4192176870748
61,67.5660430839002,67.5660430839002
62,74.4668367346939,74.4668367346939
63,76.8160430839002,76.8160430839002
64,75.7882653061224,75.7882653061224
65,73.5858843537415,73.5858843537415
66,65.5104875283447,65.5104875283447
67,74.9073129251701,74.9073129251701
68,76.0819160997732,76.0819160997732
69,65.2168367346939,65.2168367346939
70,75.2009637188209,75.2009637188209
71,72.7049319727891,72.7049319727891
72,69.7684240362812,69.7684240362812
73,77.6969954648526,77.6969954648526
74,70.6493764172336,70.6493764172336
75,70.3557256235828,70.3557256235828
76,66.9787414965986,66.9787414965986
77,66.9787414965986,66.9787414965986
78,73.1454081632653,73.1454081632653
79,71.0898526077097,71.0898526077097
80,65.0700113378685,65.0700113378685
81,67.7128684807256,67.7128684807256
82,65.9509637188209,65.9509637188209
83,68.8874716553288,68.8874716553288
84,65.3636621315193,65.3636621315193
85,65.2168367346939,65.2168367346939
86,64.1890589569161,64.1890589569161
87,71.2366780045351,71.2366780045351
88,67.2723922902494,67.2723922902494
89,67.4192176870748,67.4192176870748
90,70.5025510204082,70.5025510204082
91,71.8239795918367,71.8239795918367
92,64.0422335600907,64.0422335600907
93,68.593820861678,68.593820861678
94,65.5104875283447,65.5104875283447
95,63.8954081632653,63.8954081632653
96,70.3557256235828,70.3557256235828
97,66.0977891156463,66.0977891156463
98,68.0065192743764,68.0065192743764
99,66.0977891156463,66.0977891156463
100,66.9787414965986,66.9787414965986
101,65.5104875283447,65.5104875283447
102,65.9509637188209,65.9509637188209
103,65.2168367346939,65.2168367346939
104,66.2446145124717,66.2446145124717
105,65.6573129251701,65.6573129251701
106,68.1533446712018,68.1533446712018
107,63.7485827664399,63.7485827664399
108,66.2446145124717,66.2446145124717
109,68.7406462585034,68.7406462585034
110,65.0700113378685,65.0700113378685
111,64.6295351473923,64.6295351473923
112,64.9231859410431,64.9231859410431
113,66.6850907029478,66.6850907029478
114,67.5660430839002,67.5660430839002
115,65.6573129251701,65.6573129251701
116,69.0342970521542,69.0342970521542
117,66.5382653061224,66.5382653061224
118,65.0700113378685,65.0700113378685
119,66.8319160997732,66.8319160997732
120,72.2644557823129,72.2644557823129
121,74.3200113378685,74.3200113378685
122,66.9787414965986,66.9787414965986
123,67.125566893424,67.125566893424
124,71.8239795918367,71.8239795918367
125,73.1454081632653,73.1454081632653
126,71.0898526077097,71.0898526077097
127,66.0977891156463,66.0977891156463
128,67.7128684807256,67.7128684807256
129,67.4192176870748,67.4192176870748
130,73.5858843537415,73.5858843537415
131,74.1731859410431,74.1731859410431
132,73.8795351473923,73.8795351473923
133,77.109693877551,77.109693877551
134,70.9430272108844,70.9430272108844
135,70.9430272108844,70.9430272108844
136,75.7882653061224,75.7882653061224
137,72.8517573696145,72.8517573696145
138,72.1176303854875,72.1176303854875
139,68.3001700680272,68.3001700680272
140,75.4946145124716,75.4946145124716
141,70.062074829932,70.062074829932
142,74.0263605442177,74.0263605442177
143,76.2287414965986,76.2287414965986
144,82.2485827664399,82.2485827664399
145,103.831916099773,103.831916099773
146,76.9628684807256,76.9628684807256
147,94.141439909297,94.141439909297
148,75.4946145124716,75.4946145124716
149,101.482709750567,101.482709750567
150,74.1731859410431,74.1731859410431
151,75.2009637188209,75.2009637188209
152,75.2009637188209,75.2009637188209
153,76.0819160997732,76.0819160997732
154,77.109693877551,77.109693877551
155,103.244614512472,103.244614512472
156,99.7208049886621,99.7208049886621
157,109.704931972789,109.704931972789
158,103.831916099773,103.831916099773
159,77.6969954648526,77.6969954648526
160,97.2247732426304,97.2247732426304
161,102.950963718821,102.950963718821
162,107.502551020408,107.502551020408
163,102.950963718821,102.950963718821
164,101.776360544218,101.776360544218
165,109.264455782313,109.264455782313
166,103.685090702948,103.685090702948
167,106.18112244898,106.18112244898
168,102.363662131519,102.363662131519
169,97.077947845805,97.077947845805
170,104.712868480726,104.712868480726
171,102.804138321995,102.804138321995
172,101.776360544218,101.776360544218
173,106.47477324263,106.47477324263
174,102.804138321995,102.804138321995
175,106.768424036281,106.768424036281
176,104.712868480726,104.712868480726
177,106.327947845805,106.327947845805
178,106.915249433107,106.915249433107
179,100.161281179138,100.161281179138
180,99.8676303854875,99.8676303854875
181,97.6652494331066,97.6652494331066
182,100.014455782313,100.014455782313
183,106.915249433107,106.915249433107
184,99.2803287981859,99.2803287981859
185,104.419217687075,104.419217687075
186,98.9866780045351,98.9866780045351
187,104.419217687075,104.419217687075
188,104.859693877551,104.859693877551
189,101.629535147392,101.629535147392
190,101.189058956916,101.189058956916
191,108.08985260771,108.08985260771
192,103.244614512472,103.244614512472
193,103.097789115646,103.097789115646
194,105.446995464853,105.446995464853
195,101.923185941043,101.923185941043
196,107.355725623583,107.355725623583
197,103.685090702948,103.685090702948
198,102.804138321995,102.804138321995
199,100.895408163265,100.895408163265
200,101.776360544218,101.776360544218
201,104.712868480726,104.712868480726
202,100.74858276644,100.74858276644
203,105.887471655329,105.887471655329
204,99.5739795918367,99.5739795918367
205,104.419217687075,104.419217687075
206,101.042233560091,101.042233560091
207,98.3993764172335,98.3993764172335
208,98.6930272108843,98.6930272108843
209,99.7208049886621,99.7208049886621
210,96.4906462585034,96.4906462585034
211,103.831916099773,103.831916099773
212,100.308106575964,100.308106575964
213,96.0501700680272,96.0501700680272
214,101.335884353741,101.335884353741
215,101.776360544218,101.776360544218
216,101.042233560091,101.042233560091
217,102.363662131519,102.363662131519
218,96.7842970521542,96.7842970521542
219,97.812074829932,97.812074829932
220,95.3160430839002,95.3160430839002
221,94.2882653061224,94.2882653061224
222,95.609693877551,95.609693877551
223,97.2247732426304,97.2247732426304
224,95.609693877551,95.609693877551
225,94.5819160997732,94.5819160997732
226,96.0501700680272,96.0501700680272
227,94.141439909297,94.141439909297
228,95.0223922902494,95.0223922902494
229,95.0223922902494,95.0223922902494
230,95.0223922902494,95.0223922902494
231,95.9033446712018,95.9033446712018
232,97.812074829932,97.812074829932
233,95.9033446712018,95.9033446712018
234,93.1136621315193,93.1136621315193
235,98.3993764172335,98.3993764172335
236,94.4350907029478,94.4350907029478
237,93.2604875283447,93.2604875283447
238,98.1057256235828,98.1057256235828
239,96.7842970521542,96.7842970521542
240,99.5739795918367,99.5739795918367
241,98.9866780045351,98.9866780045351
242,95.609693877551,95.609693877551
243,99.5739795918367,99.5739795918367
244,101.335884353741,101.335884353741
245,98.6930272108843,98.6930272108843
246,98.1057256235828,98.1057256235828
247,55.5263605442177,97.6652494331066
248,100.308106575964,100.308106575964
249,99.4271541950113,99.4271541950113
250,55.5263605442177,99.4271541950113
251,54.7922335600907,94.2882653061224
252,97.077947845805,97.077947845805
253,54.6454081632653,97.077947845805
254,98.3993764172335,98.3993764172335
255,95.1692176870748,95.1692176870748
256,54.2049319727891,98.5462018140589
257,94.141439909297,94.141439909297
258,95.0223922902494,95.0223922902494
259,53.6176303854875,92.6731859410431
260,95.7565192743764,95.7565192743764
261,52.8835034013605,93.1136621315193
262,53.1771541950113,92.2327097505669
263,53.3239795918367,97.9589002267574
264,52.8835034013605,92.5263605442177
265,52.8835034013605,91.7922335600907
266,52.8835034013605,90.9112811791383
267,90.9112811791383,90.9112811791383
268,52.5898526077098,95.3160430839002
269,52.1493764172336,91.7922335600907
270,52.8835034013605,93.7009637188208
271,52.8835034013605,90.1771541950113
272,52.1493764172336,89.8835034013605
273,50.827947845805,90.0303287981859
274,50.9747732426304,90.7644557823129
275,51.562074829932,90.9112811791383
276,52.4430272108844,87.9747732426304
277,51.4152494331066,87.827947845805
278,50.9747732426304,88.8557256235828
279,51.8557256235828,88.4152494331066
280,52.1493764172336,89.0025510204081
281,51.2684240362812,87.9747732426304
282,51.1215986394558,89.7366780045351
283,49.9469954648526,87.093820861678
284,50.2406462585034,87.9747732426304
285,50.5342970521542,88.2684240362812
286,51.562074829932,87.827947845805
287,51.1215986394558,88.562074829932
288,50.2406462585034,87.6811224489796
289,50.093820861678,87.093820861678
290,50.6811224489796,88.562074829932
291,51.2684240362812,87.9747732426304
292,50.3874716553288,89.5898526077097
293,50.3874716553288,88.1215986394558
294,50.3874716553288,89.5898526077097
295,50.5342970521542,87.5342970521542
296,50.093820861678,87.827947845805
297,50.093820861678,87.6811224489796
298,49.8001700680272,87.827947845805
299,86.8001700680272,86.8001700680272
300,49.359693877551,88.562074829932
301,49.8001700680272,86.9469954648526
302,49.6533446712018,86.5065192743764
303,49.6533446712018,87.9747732426304
304,49.5065192743764,86.359693877551
305,50.093820861678,87.3874716553288
306,50.2406462585034,86.359693877551
307,50.093820861678,87.2406462585034
308,49.6533446712018,86.0660430839002
309,49.6533446712018,87.093820861678
310,49.8001700680272,86.5065192743764
311,49.359693877551,86.0660430839002
312,86.5065192743764,86.5065192743764
313,86.9469954648526,86.9469954648526
314,86.5065192743764,86.5065192743764
315,86.0660430839002,86.0660430839002
316,85.7723922902494,85.7723922902494
317,85.7723922902494,85.7723922902494
318,85.625566893424,85.625566893424
319,85.4787414965986,85.4787414965986
320,86.359693877551,86.359693877551
321,83.7168367346939,83.7168367346939
322,85.625566893424,85.625566893424
323,86.2128684807256,86.2128684807256
324,83.8636621315193,83.8636621315193
325,84.1573129251701,84.1573129251701
326,84.7446145124716,84.7446145124716
327,83.4231859410431,83.4231859410431
328,84.4509637188208,84.4509637188208
329,84.3041383219955,84.3041383219955
330,84.7446145124716,84.7446145124716
331,84.5977891156463,84.5977891156463
332,83.7168367346939,83.7168367346939
333,83.4231859410431,83.4231859410431
334,83.8636621315193,83.8636621315193
335,82.1017573696145,82.1017573696145
336,83.1295351473923,83.1295351473923
337,83.4231859410431,83.4231859410431
338,84.1573129251701,84.1573129251701
339,82.2485827664399,82.2485827664399
340,82.9827097505669,82.9827097505669
341,81.6612811791383,81.6612811791383
342,82.6890589569161,82.6890589569161
343,83.2763605442177,83.2763605442177
344,83.1295351473923,83.1295351473923
345,82.5422335600907,82.5422335600907
346,81.3676303854875,81.3676303854875
347,81.5144557823129,81.5144557823129
348,82.1017573696145,82.1017573696145
349,81.9549319727891,81.9549319727891
350,82.2485827664399,82.2485827664399
351,82.2485827664399,82.2485827664399
352,81.5144557823129,81.5144557823129
353,81.9549319727891,81.9549319727891
354,80.1930272108843,80.1930272108843
355,80.4866780045351,80.4866780045351
356,81.9549319727891,81.9549319727891
357,82.1017573696145,82.1017573696145
358,80.7803287981859,80.7803287981859
359,82.3954081632653,82.3954081632653
360,79.8993764172336,79.8993764172336
361,81.6612811791383,81.6612811791383
362,81.6612811791383,81.6612811791383
363,80.3398526077097,80.3398526077097
364,81.0739795918367,81.0739795918367
365,80.9271541950113,80.9271541950113
366,80.9271541950113,80.9271541950113
367,80.9271541950113,80.9271541950113
368,80.0462018140589,80.0462018140589
369,80.0462018140589,80.0462018140589
370,80.4866780045351,80.4866780045351
371,80.0462018140589,80.0462018140589
372,79.6057256235828,79.6057256235828
373,79.0184240362812,79.0184240362812
374,79.312074829932,79.312074829932
375,79.0184240362812,79.0184240362812
376,79.0184240362812,79.0184240362812
377,79.0184240362812,79.0184240362812
378,78.577947845805,78.577947845805
379,77.9906462585034,77.9906462585034
380,77.9906462585034,77.9906462585034
381,78.4311224489796,78.4311224489796
382,78.1374716553288,78.1374716553288
383,78.2842970521542,78.2842970521542
384,78.577947845805,78.577947845805
385,78.4311224489796,78.4311224489796
386,78.2842970521542,78.2842970521542
387,78.4311224489796,78.4311224489796
388,77.843820861678,77.843820861678
389,77.6969954648526,77.6969954648526
390,77.109693877551,77.109693877551
391,76.9628684807256,76.9628684807256
392,76.8160430839002,76.8160430839002
393,76.9628684807256,76.9628684807256
394,77.2565192743764,77.2565192743764
395,77.2565192743764,77.2565192743764
396,77.4033446712018,77.4033446712018
397,77.109693877551,77.109693877551
398,76.9628684807256,76.9628684807256
399,76.8160430839002,76.8160430839002
400,76.9628684807256,76.9628684807256
401,76.9628684807256,76.9628684807256
402,76.6692176870748,76.6692176870748
403,76.6692176870748,76.6692176870748
404,76.6692176870748,76.6692176870748
405,76.6692176870748,76.6692176870748
406,76.6692176870748,76.6692176870748
407,76.6692176870748,76.6692176870748
408,76.6692176870748,76.6692176870748
409,76.9628684807256,76.9628684807256
410,76.9628684807256,76.9628684807256
411,76.6692176870748,76.6692176870748
412,76.8160430839002,76.8160430839002
413,76.8160430839002,76.8160430839002
414,76.9628684807256,76.9628684807256
415,76.6692176870748,76.6692176870748
416,76.6692176870748,76.6692176870748
417,76.6692176870748,76.6692176870748
418,76.6692176870748,76.6692176870748
419,76.6692176870748,76.6692176870748
420,76.6692176870748,76.6692176870748
421,76.5223922902494,76.5223922902494
422,76.6692176870748,76.6692176870748
423,76.5223922902494,76.5223922902494
424,76.6692176870748,76.6692176870748
425,76.375566893424,76.375566893424
426,76.5223922902494,76.5223922902494
427,76.6692176870748,76.6692176870748
428,76.6692176870748,76.6692176870748
429,76.6692176870748,76.6692176870748
430,76.6692176870748,76.6692176870748
431,76.5223922902494,76.5223922902494
432,76.375566893424,76.375566893424
433,76.375566893424,76.375566893424
434,76.375566893424,76.375566893424
435,NaN,NaN
436,76.2287414965986,76.2287414965986
437,NaN,NaN
438,NaN,NaN
439,NaN,NaN
440,NaN,NaN
441,NaN,NaN
442,NaN,NaN
443,NaN,NaN
444,NaN,NaN
445,NaN,NaN
446,NaN,NaN
447,NaN,NaN
448,NaN,NaN
449,NaN,NaN
450,NaN,NaN
451,NaN,NaN
452,NaN,NaN
453,NaN,NaN
454,NaN,NaN
455,NaN,NaN
456,NaN,NaN
457,NaN,NaN
458,NaN,NaN
459,NaN,NaN
460,NaN,NaN
461,NaN,NaN
462,NaN,NaN
463,NaN,NaN
464,NaN,NaN
465,NaN,NaN
466,NaN,NaN
467,NaN,NaN
468,NaN,NaN
469,NaN,NaN
470,NaN,NaN
471,NaN,NaN
472,NaN,NaN
473,NaN,NaN
474,NaN,NaN
475,NaN,NaN
476,NaN,NaN
477,NaN,NaN
478,NaN,NaN
479,NaN,NaN
480,NaN,NaN
481,NaN,NaN
482,NaN,NaN
483,NaN,NaN
484,NaN,NaN
485,NaN,NaN
486,NaN,NaN
487,NaN,NaN
488,79.6057256235828,79.6057256235828
